PRECINCT_NAME,PRECINCT_CODE,CTYSOSID,COUNTY_NAM,ajc_precinct,woolard_votes,mitchell_votes,County,wrightson_votes,eaves_votes,bottoms_votes,hall_votes,norwood_votes,sterling_votes,aman_votes,Precinct,ammanamanchi_votes,fort_votes,king_votes,county,_merge
02K,02K,12102K,FULTON,02K,190.0,12.0,FULTON,1.0,4.0,40.0,29.0,91.0,0.0,52.0,02K,1.0,56.0,0.0,FULTON,both
08P,08P,12108P,FULTON,08P,63.0,29.0,FULTON,0.0,4.0,70.0,14.0,77.0,0.0,52.0,08P,0.0,24.0,0.0,FULTON,both
08K,08K,12108K,FULTON,08K,37.0,7.0,FULTON,2.0,1.0,18.0,4.0,130.0,0.0,64.0,08K,0.0,8.0,0.0,FULTON,both
EMORY SOUTH - CO,EG,089EG,DEKALB,EMORY SOUTH (CO),0.0,0.0,DEKALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EMORY SOUTH (CO),0.0,0.0,0.0,DEKALB,both
JOHNSON ESTATES (ATL),JA,089JA,DEKALB,JOHNSON ESTATES (ATL),243.0,31.0,DEKALB,0.0,6.0,25.0,6.0,158.0,0.0,134.0,JOHNSON ESTATES (ATL),0.0,13.0,0.0,DEKALB,both
BRIAR VISTA ELEM (ATL),BC,089BC,DEKALB,BRIAR VISTA ELEM (ATL),1.0,0.0,DEKALB,0.0,1.0,0.0,0.0,0.0,0.0,3.0,BRIAR VISTA ELEM (ATL),0.0,0.0,0.0,DEKALB,both
DRUID HILLS HIGH - CO,DH,089DH,DEKALB,DRUID HILLS HIGH (CO),0.0,0.0,DEKALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRUID HILLS HIGH (CO),0.0,0.0,0.0,DEKALB,both
EMORY ROAD - CO,ER,089ER,DEKALB,EMORY ROAD (CO),0.0,0.0,DEKALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EMORY ROAD (CO),0.0,0.0,0.0,DEKALB,both
LAVISTA ROAD - CO,LB,089LB,DEKALB,LAVISTA ROAD (CO),0.0,0.0,DEKALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAVISTA ROAD (CO),0.0,0.0,0.0,DEKALB,both
08H,08H,12108H,FULTON,08H,68.0,28.0,FULTON,0.0,10.0,40.0,5.0,541.0,0.0,342.0,08H,3.0,13.0,0.0,FULTON,both
EAST LAKE  (ATL),EA,089EA,DEKALB,EAST LAKE (ATL),249.0,177.0,DEKALB,1.0,10.0,324.0,56.0,156.0,4.0,81.0,EAST LAKE (ATL),4.0,147.0,0.0,DEKALB,both
